"geo_name","geo_lat","geo_lon","osm_name","osm_lat","osm_lon","name_match","distance"
"Bi’r Zawalān","31.51667","34.43333","Semsem Library","31.5168033","34.4337406","7.142857142857142%","41.7076638908729m"
"Shaykh Sulaymān","31.29694","34.24194","مسجد ابو عبيدة بن الجراح","31.296953000000002","34.2423622","4.166666666666666%","40.222245129197844m"
"Shaykh Muḩammad","31.42","34.34583","صيدلية عفاف","31.419760600000004","34.3461904","6.666666666666667%","43.34597514605939m"
"Shaykh Dāwūd","31.41667","34.35","","31.416768199999996","34.350066299999995","0%","12.581466213147744m"
"Mukhayyam al Maghāzī","31.42234","34.38501","مكتب تاكسيات أصلان","31.4221885","34.3846416","5.0%","38.847295022317944m"
"Khuzā‘ah","31.30675","34.3611","","31.3070555","34.3613675","0%","42.3769408596852m"
"Khan Younis camp","31.34929","34.29336","","31.3493534","34.2934251","0%","9.369414030975696m"
"Kefar Darom","31.40369","34.35396","","31.404145","34.3538347","0%","51.83694508624518m"
"Jabalia","31.5272","34.48347","","31.526882399999998","34.483891899999996","0%","53.345089087390846m"
"Deir el-Balah","31.41783","34.35033","","31.4174641","34.3502935","0%","40.71795177646035m"
"‘Abasān al Kabīrah","31.31913","34.34005","سعد الشواف","31.318853100000002","34.3396799","5.555555555555555%","46.72873612150394m"
"Zaytā","32.3856","35.05122","مسجد زيتا","32.3855034","35.0515722","0%","34.8287861694935m"
"Yatmā","32.10889","35.26909","مستودع غاز","32.1090371","35.2689025","0%","24.06736183103074m"
"Wādī Fūkīn","31.70701","35.10366","","31.707000399999995","35.10359129999999","0%","6.598622454314472m"
"Bi’r al Wādī","31.93722","35.09543","بير الواد","31.936882399999995","35.095901","8.333333333333332%","58.1798375748208m"
"Ţūrah ash Sharqīyah","32.46446","35.17119","نزلة زيد","32.464393699999995","35.17165870000001","5.263157894736842%","44.67341352998918m"
"Ţūrah al Gharbīyah","32.46884","35.15247","مسجد طورة الثاني","32.468528899999995","35.1520814","5.555555555555555%","50.24739091256534m"
"Mount of Olives","31.78024","35.24646","Mount of Olives Elementary School and Kindergarte","31.780093599999997","35.2470169","30.612244897959183%","55.189785646024426m"
"Tulkarm","32.31037","35.02863","","32.3106495","35.0291479","0%","57.78749366331039m"
"‘Ayn at Tīnah","31.96667","35.1","صيدلية محمود","31.966600399999997","35.09990870000001","7.6923076923076925%","11.57776384048586m"
"Tilfīt","32.40147","35.3415","تلفيت;مسجد تلفيت","32.4014415","35.3410453","0%","42.89435774603173m"
"Dayr Thiyūdūsiyūs","31.72116","35.28273","Monastery of St. Theodosius","31.721132300000004","35.2825906","11.11111111111111%","13.564366831908083m"
"Aţ Ţarm","32.46248","35.19102","مسجد الطرم","32.4625647","35.191164","10.0%","16.47753831370271m"
"Ţammūn","32.28347","35.38367","مسجد","32.2833244","35.383842","0%","22.873860426027314m"
"Till","32.20068","35.21293","ديوان ال يامين","32.2012049","35.2128426","0%","58.786774005652546m"
"‘Ayn as Sulţān","31.86992","35.44475","Sera","31.870182300000003","35.4450758","7.142857142857142%","42.383699647638956m"
"Sinjil","32.03334","35.26545","تكسي ابو جاسر","32.0329078","35.2653995","0%","48.162338116317436m"
"Sīlat al Ḩārithīyah","32.50847","35.22752","Medical Relief","32.5079908","35.227382899999995","15.789473684210526%","54.68056386855928m"
"Shuwaykah","32.33636","35.03547","مسجد شويكة","32.336231899999994","35.0349402","0%","51.86226560784517m"
"Shuqbā","31.98695","35.04012","عيادة اسنان","31.986902299999997","35.0400044","0%","12.138009205443826m"
"Wādī ash Shaykh Yūsuf","31.61667","35.03333","مسجد البقعة","31.616217699999996","35.0332342","4.761904761904762%","50.96818985826245m"
